"","Author","Book","District","State","Notes","BanDate"
"262","España, Carla and Yadira, Luz","En Comunidad","Central York","Pennsylvania","September 2021",""
"263","Yolen, Jane","Encounter","Central York","Pennsylvania","September 2021",""
"264","Easton, Emily","Enough! 20 Protesters Who Changed America","Central York","Pennsylvania","September 2021",""
"265","Garcia, Gabe","Escuchando con mi corazon","Central York","Pennsylvania","September 2021",""
"266","Pollock, Mica","Everyday Anti-Racism
","Central York","Pennsylvania","September 2021",""
"267","Slade, Suzanne","Exquisite: THe POetry and Life of Gwendolyn Brooks","Central York","Pennsylvania","September 2021",""
"268","Parr, Todd","Exta bian ser diferente","Central York","Pennsylvania","September 2021",""
"269","Bell, Derek","Faces at the Bottom of the Well ","Central York","Pennsylvania","September 2021",""
"270","Venezia, Mike","Faith Ringgold","Central York","Pennsylvania","September 2021",""
"271","Pinkney, Andrea","Fishing Day","Central York","Pennsylvania","September 2021",""
"272","Lockington, Mariama J","For Black Girls Like Me","Central York","Pennsylvania","September 2021",""
"273","Emdin, Chris","For White Folks Who Teach in the Hood","Central York","Pennsylvania","September 2021",""
"274","Weatherford, Carole Boston","Freedom in Congo Square","Central York","Pennsylvania","September 2021",""
"275","Thom, Kai Cheng","From the Stars in the Sky to the Fish in the Sea","Central York","Pennsylvania","September 2021",""
"276","Maillard, Kevin Noble","Fry Bread: A Native American Story","Central York","Pennsylvania","September 2021",""
"277","Cooke, Trish","Full, Full, Full of Love","Central York","Pennsylvania","September 2021",""
"278","Marley, Bob and Cedella Marley","Get Up, Stand Up","Central York","Pennsylvania","September 2021",""
"279","Reynolds, Jason","Ghost","Central York","Pennsylvania","September 2021",""
"280","Rhodes, Jewel Parker","Ghost Boys","Central York","Pennsylvania","September 2021",""
"281","Ewing, Eve","Ghosts in the Schoolyard","Central York","Pennsylvania","September 2021",""
"282","Melissa (George)","Gino, Alex","Central York","Pennsylvania","September 2021",""
"283","Deutsch, Stacia","Girls Who Code (series)","Central York","Pennsylvania","September 2021",""
"284","Weatherford, Carole Boston","Gordon Parks: How the PHotographer Captured Black and White America","Central York","Pennsylvania","September 2021",""
"285","Wallmark, Laurie","Grace Hopper: Queen of Computer Code","Central York","Pennsylvania","September 2021",""
"286","Zunon, Elizabeth","Grandpa Cacao: A Tale of Chocolate from Farm to Family","Central York","Pennsylvania","September 2021",""
"287","Cherry, Matthew A. and Vashti Harrison","Hair Love","Central York","Pennslyvania","and MANY more",""
"288","McDaniel, Breanna","Hands Up!","Central York","Pennsylvania","September 2021",""
"289","McDaniel, Breanna J.","Hands Up!","Central York","Pennsylvania","September 2021",""
"290","Kuhlman, Evan and Chuck Groenink","Hank's Big Day: The Story of a Bug","Central York","Pennsylvania","September 2021",""
"291","Watson, Renee","Harlems Little Blackbird","Central York","Pennsylvania","September 2021",""
"292","Krull, Kathleen","Harvesting Hope","Central York","Pennsylvania","September 2021",""
"293","Levine, Ellen","Henry's Freedom Box: A True Story from the Underground Railroad","Central York","Pennsylvania","September 2021",""
"294","Perkins, Useni Eugene","Hey Black Child","Central York","Pennsylvania","September 2021",""
"295","Perkins, Useni Eugene","Hey Black Child","Central York","Pennsylvania","September 2021",""
"296","Rockwell, Anne","Hey, Charleston!","Central York","Pennsylvania","September 2021",""
"297","Shetterly, Margo Lee with Winifred Conkling","Hidden Figures","Central York","Pennsylvania","September 2021",""
"298","Kahn, Brooke","Home of the Brave: 15 Immigrants Who Shaped US History","Central York","Pennsylvania","September 2021",""
"299","Ginwright, Shawn","Hope and Healing in Urban Education","Central York","Pennsylvania","September 2021",""
"300","English, Karen","Hot Day on Abbott Avenue","Central York","Pennsylvania","September 2021",""
"301","Hort, Lenny","How many Stars in the Sky","Central York","Pennsylvania","September 2021",""
"302","Kendi, Ibram","How to be an Anti-Racist","Central York","Pennsylvania","September 2021",""
"303","Solomon, Akiba and Rankin, Kenrya","How We Fight White Supremacy","Central York","Pennsylvania","September 2021",""
"304","Byers, Grace","I am Enough","Central York","Pennsylvania","September 2021",""
"305","Barnes, Derrick","I am Every Good Thing","Central York","Pennsylvania","September 2021",""
"306","Verde, Susan","I am Human","Central York","Pennsylvania","September 2021",""
"307","Meltzer, Brad","I am Martin Luther King Jr","Central York","Pennsylvania","September 2021",""
"308","Sanchez, Erika L.","I Am Not Your Perfect Mexican Daughter","Central York","Pennsylvania","September 2021",""
"309","Meltzer, Brad","I am Rosa Parks","Central York","Pennsylvania","September 2021",""
"310","Nesmith, Kimberly ","I Am Who I Am","Central York","Pennsylvania","September 2021",""
"311","Tarpley, Nastasha Anastasia","I Love My Hair","Central York","Pennsylvania","September 2021",""
"312","James, Lebron","I Promise","Central York","Pennsylvania","September 2021",""
"313","Bynum, Betty K.","I'm a Pretty Little Girl","Central York","Pennsylvania","September 2021",""
"314","kostecki-shaw, Jenny Sue","Igualies, pero diferentes","Central York","Pennsylvania","September 2021",""
"315","Brown-Wood, Janay","Imani's Moon","Central York","Pennsylvania","September 2021",""
"316","McManis, Charlene Willing","Indian No More","Central York","Pennsylvania","September 2021",""
"317","Johnshon, Chelsea","Intersection Allies","Central York","Pennsylvania","September 2021",""
"318","Diaz, Junot","Islandborn","Central York","Pennsylvania","September 2021",""
"319","","Islandborn","Central York","Pennsylvania","September 2021",""
"320","Cornwall, Gaia","Jabari Jumps","Central York","Pennsylvania","September 2021",""
"321","Silverman, Erica","Jack (Not Jackie)","Central York","Pennsylvania","September 2021",""
"322","Dumas, Marti","Jaden Toussaint the Greatest","Central York","Pennsylvania","September 2021",""
"323","Florence, Debbi Michiko","Jasmine Toguchi (series)","Central York","Pennsylvania","September 2021",""
"324","Michiko, Debbie","Jasmine Toguchi (series)","Central York","Pennsylvania","September 2021",""
"325","Love, Jessica","Julian is a Mermaid","Central York","Pennsylvania","September 2021",""
"326","Thomson, Melissa","Keena Ford and the Second Grade Mix-Up","Central York","Pennsylvania","September 2021",""
"327","Butler, Dori Hillestad","King and Kayla (series)","Central York","Pennsylvania","September 2021",""
"328","Beaty, Daniel","Knock Knock: My Dad's Dream for Me","Central York","Pennsylvania","September 2021",""
"329","de la Pena, Matt","Last Stop on Market Street","Central York","Pennsylvania","September 2021",""
"330","Guidroz, Rukhsanna","Leila in Saffron","Central York","Pennsylvania","September 2021",""
"331","Clark-Robinson, Monica","Let the Children March","Central York","Pennsylvania","September 2021",""
"332","Khan, Hena","Like the Moon Loves the Sky","Central York","Pennsylvania","September 2021",""
"333","Gephart, Donna","Lily and Dunkin","Central York","Pennsylvania","September 2021",""
"334","Harrison, Vashti","Little Leaders Bold Women in Black History","Central York","Pennsylvania","September 2021",""
"335","Harrison, Vashti","Little Legends: Exceptional Men in Black History","Central York","Pennsylvania","September 2021",""
"336","Russell-Brown, Katheryn","Little Melba and Her Big Trombone","Central York","Pennsylvania","September 2021",""
"337","Kolner, Lisbeth","Little People, Big Dreams Maya Angelo","Central York","Pennsylvania","September 2021",""
"338","Schwatz, Heather","Locked Up for Freedom","Central York","Pennsylvania","September 2021",""
"339","Brown, Monica","Lola Levine (series)","Central York","Pennsylvania","September 2021",""
"340","McQuinn, Anna","Lola Reads (series)","Central York","Pennsylvania","September 2021",""
"341","Reynolds, Jason","Look Both Ways: A Tale Told in 10 Blocks","Central York","Pennsylvania","September 2021",""
"342","Katz, karen","Los Colores de nuestra pel","Central York","Pennsylvania","September 2021",""
"343","Hong, Jess","Lovely","Central York","Pennsylvania","September 2021",""
"344","Meddour, Wendy","Lubna and Pebble","Central York","Pennsylvania","September 2021",""
"345","Behar, Ruth","Lucky Broken Girl","Central York","Pennsylvania","September 2021",""
"346","McKay, Hilary","Lulu and Duck in the Park","Central York","Pennsylvania","September 2021",""
"347","Ahmed, Roda","Mae Among the Stars","Central York","Pennsylvania","September 2021",""
"348","Doak, Robin S.","Mala Yousafzai","Central York","Pennsylvania","September 2021",""
"349","Yousafzai, Malala","Malala: My story of Standing Up for Girls' Rights","Central York","Pennsylvania","September 2021",""
"350","Yousafzai, Malala","Malala: My story of Standing Up for Girls' Rights","Central York","Pennslyvania","and MANY more",""
"351","Yousafzai, Malala","Malala's Magic Pencil","Central York","Pennsylvania","September 2021",""
"352","Medina, Meg","Mango, Abuela and Me","Central York","Pennsylvania","September 2021",""
"353","Brown, Monica","Marisol McDonald Doesn't Match","Central York","Pennsylvania","September 2021",""
"354","Bildner, Phil","Marvelous Cornelius: Hurricana Katrina and the Spirit of New Orleans","Central York","Pennsylvania","September 2021",""
"355","Cooper, Floyd","Max and the Tag-Along Moon","Central York","Pennsylvania","September 2021",""
"356","Saad, Layla F. ","Me and White Supremacy ","Central York","Pennsylvania","September 2021",""
"357","Saad, Layla F","Me and White Supremacy: Combat Racism, Change the World nad Become a Good Ancestor","Central York","Pennsylvania","September 2021",""
"358","Faruqi, Saadia","Meet Yasmin (series)","Central York","Pennsylvania","September 2021",""
"359","Hopkinson, Debra","Michelle","Central York","Pennsylvania","September 2021",""
"360","Elliott, Zetta","Milo's Museum","Central York","Pennsylvania","September 2021",""
"361","Lee, Lyla","Mindy Kim Series","Central York","Pennsylvania","September 2021",""
"362","Diggs, Taye","MIxed Me","Central York","Pennsylvania","September 2021",""
"363","Sullivan, Rosana","Mommy Sayang: Pixar Animation Studios Artist Showcase","Central York","Pennsylvania","September 2021",""
"364","Fredrickson, Lane","Monster Trouble","Central York","Pennsylvania","September 2021",""
"365","Baldacchino, Christine","Morris Micklewhite and the Tangerine Dress","Central York","Pennsylvania","September 2021",""
"366","Polacco, Patrica","Mrs. Katz and Tush","Central York","Pennsylvania","September 2021",""
"367","Delpit, Lisa","Multiplication is for White People ","Central York","Pennsylvania","September 2021",""
"368","Cox, Judy","My Family Plays Music","Central York","Pennsylvania","September 2021",""
"369","Hudson, Cheryl Willis","My Friend Maya Loves to Dance","Central York","Pennsylvania","September 2021",""
"370","Calbera, Cozbi A","My Hair is a Garden","Central York","Pennsylvania","September 2021",""
"371","","My Name is Celia: The LIfe of Celia Cruz","Central York","Pennsylvania","September 2021",""
"372","Quintero, Isabel","My Papi Has a Motocycle","Central York","Pennsylvania","September 2021",""
"373","A is for Activist","Nagara, Innosanto","Central York","Pennsylvania","September 2021",""
"374","Sidney, Ronnie","Nelson Beats the Odds","Central York","Pennsylvania","September 2021",""
"375","Nelson, Kadir","Nelson Mandelal","Central York","Pennsylvania","September 2021",""
"376","English, Karen","Nikki and Deja","Central York","Pennsylvania","September 2021",""
"377","Morales, Yuyi","Nino Wrestles the World","Central York","Pennsylvania","September 2021",""
"378","Rhodes, Jewell Parker","Ninth Ward","Central York","Pennsylvania","September 2021",""
